id_venda,data,ano,mês,dia,id_cliente,customer_segment,regiao,estado,produto_categoria,produto_nome,canal_venda,quantidade,preco_unitario,pct_desconto,gross_revenue,discount_value,net_revenue,cost,profit,margin_pct,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
1,2023-01-01 00:00:00,2023,Janeiro,1,1129,Corporativo,Nordeste,BA,Eletrônicos,Cadeira Gamer,E-commerce,23,"R$ 2.750,90",7%,"R$ 63.270,67","R$ 4.338,66","R$ 58.932,02","R$ 41.648,12","R$ 17.283,90","29,33",,,,,,,
2,2023-01-01 00:00:00,2023,Janeiro,1,1963,Pequenas Empresas,Sudeste,SP,Eletrônicos,Cadeira Gamer,E-commerce,9,"R$ 1.054,99",5%,"R$ 9.494,89","R$ 431,81","R$ 9.063,08","R$ 5.244,14","R$ 3.818,94","42,14",,,,,,5.0,Maio
3,2023-01-02 00:00:00,2023,Janeiro,2,1385,Pequenas Empresas,Sul,SC,Eletrônicos,Webcam 4K,E-commerce,8,"R$ 676,88",12%,"R$ 5.415,04","R$ 635,28","R$ 4.779,76","R$ 2.827,43","R$ 1.952,33","40,85",,,,,,,
4,2023-01-02 00:00:00,2023,Janeiro,2,1304,Pequenas Empresas,Nordeste,PE,Eletrônicos,Microfone Condensador,Loja Física,3,"R$ 783,48",4%,"R$ 2.350,45","R$ 104,62","R$ 2.245,83","R$ 1.602,67","R$ 643,17","28,64",,,,,,,
5,2023-01-02 00:00:00,2023,Janeiro,2,1808,Corporativo,Centro-Oeste,GO,Eletrônicos,Webcam 4K,E-commerce,36,"R$ 2.959,06",3%,"R$ 106.526,25","R$ 3.114,00","R$ 103.412,25","R$ 67.202,04","R$ 36.210,21","35,02",,,,,,,
6,2023-01-02 00:00:00,2023,Janeiro,2,1496,Pequenas Empresas,Sul,RS,Eletrônicos,Mouse Gamer,Loja Física,2,"R$ 933,05",2%,"R$ 1.866,09","R$ 43,65","R$ 1.822,44","R$ 1.095,84","R$ 726,59","39,87",,,,,,,
7,2023-01-02 00:00:00,2023,Janeiro,2,1454,Consumidor Final,Sul,RS,Eletrônicos,Webcam 4K,Loja Física,2,"R$ 438,93",7%,"R$ 877,87","R$ 61,84","R$ 816,02","R$ 466,81","R$ 349,22","42,79",,,,,,,
8,2023-01-03 00:00:00,2023,Janeiro,3,1323,Consumidor Final,Nordeste,CE,Eletrônicos,Headset Gamer,E-commerce,1,"R$ 430,93",11%,"R$ 430,93","R$ 45,84","R$ 385,10","R$ 282,40","R$ 102,69","26,67",,,,,,,
9,2023-01-04 00:00:00,2023,Janeiro,4,1663,Consumidor Final,Sudeste,RJ,Eletrônicos,Headset Gamer,Loja Física,1,"R$ 155,31",8%,"R$ 155,31","R$ 11,85","R$ 143,46","R$ 80,07","R$ 63,39","44,19",,,,,,,
10,2023-01-04 00:00:00,2023,Janeiro,4,1123,Consumidor Final,Sul,PR,Eletrônicos,Webcam 4K,Loja Física,1,"R$ 384,23",6%,"R$ 384,23","R$ 23,28","R$ 360,95","R$ 226,14","R$ 134,81","37,35",,,,,,,
11,2023-01-05 00:00:00,2023,Janeiro,5,1593,Corporativo,Sudeste,SP,Eletrônicos,Microfone Condensador,E-commerce,46,"R$ 3.462,46",4%,"R$ 159.273,23","R$ 5.783,18","R$ 153.490,05","R$ 87.714,20","R$ 65.775,85","42,85",,,,,,,
12,2023-01-05 00:00:00,2023,Janeiro,5,1914,Pequenas Empresas,Sudeste,SP,Eletrônicos,Monitor Ultrawide,Loja Física,5,"R$ 612,31",3%,"R$ 3.061,55","R$ 90,48","R$ 2.971,07","R$ 1.599,93","R$ 1.371,14","46,15",,,,,,,
13,2023-01-05 00:00:00,2023,Janeiro,5,1653,Consumidor Final,Sul,SC,Móveis,Mesa Gamer,E-commerce,4,"R$ 218,67",4%,"R$ 874,67","R$ 31,13","R$ 843,54","R$ 520,26","R$ 323,29","38,32",,,,,,,
14,2023-01-05 00:00:00,2023,Janeiro,5,1353,Corporativo,Nordeste,BA,Eletrônicos,Microfone Condensador,E-commerce,20,"R$ 2.412,20",6%,"R$ 48.243,91","R$ 2.743,59","R$ 45.500,32","R$ 33.768,40","R$ 11.731,92","25,78",,,,,,,
15,2023-01-05 00:00:00,2023,Janeiro,5,1823,Pequenas Empresas,Nordeste,BA,Eletrônicos,Webcam 4K,E-commerce,15,"R$ 923,26",5%,"R$ 13.848,91","R$ 678,13","R$ 13.170,78","R$ 9.462,81","R$ 3.707,97","28,15",,,,,,,
16,2023-01-06 00:00:00,2023,Janeiro,6,1940,Pequenas Empresas,Sudeste,SP,Eletrônicos,Cadeira Gamer,Loja Física,5,"R$ 709,66",12%,"R$ 3.548,32","R$ 411,68","R$ 3.136,64","R$ 1.772,47","R$ 1.364,17","43,49",,,,,,,
17,2023-01-06 00:00:00,2023,Janeiro,6,1942,Pequenas Empresas,Centro-Oeste,GO,Eletrônicos,Teclado Mecânico,E-commerce,10,"R$ 415,35",4%,"R$ 4.153,54","R$ 160,24","R$ 3.993,30","R$ 2.533,28","R$ 1.460,02","36,56",,,,,,,
18,2023-01-07 00:00:00,2023,Janeiro,7,1067,Corporativo,Centro-Oeste,GO,Móveis,Mesa Gamer,E-commerce,24,"R$ 2.623,58",5%,"R$ 62.965,94","R$ 2.870,31","R$ 60.095,64","R$ 37.856,75","R$ 22.238,88","37,01",,,,,,,
19,2023-01-07 00:00:00,2023,Janeiro,7,1618,Pequenas Empresas,Sudeste,RJ,Móveis,Mesa Gamer,Loja Física,6,"R$ 1.041,23",12%,"R$ 6.247,38","R$ 721,91","R$ 5.525,47","R$ 3.043,04","R$ 2.482,44","44,93",,,,,,,
20,2023-01-08 00:00:00,2023,Janeiro,8,1083,Consumidor Final,Sul,SC,Eletrônicos,Headset Gamer,Loja Física,1,"R$ 286,31",10%,"R$ 286,31","R$ 29,46","R$ 256,86","R$ 160,31","R$ 96,55","37,59",,,,,,,
21,2023-01-08 00:00:00,2023,Janeiro,8,1974,Corporativo,Sudeste,RJ,Móveis,Mesa Gamer,E-commerce,23,"R$ 3.188,72",4%,"R$ 73.340,53","R$ 2.697,65","R$ 70.642,88","R$ 38.210,55","R$ 32.432,33","45,91",,,,,,,
22,2023-01-08 00:00:00,2023,Janeiro,8,1048,Consumidor Final,Sul,SC,Eletrônicos,Webcam 4K,E-commerce,1,"R$ 268,34",6%,"R$ 268,34","R$ 16,25","R$ 252,10","R$ 146,95","R$ 105,15","41,71",,,,,,,
23,2023-01-09 00:00:00,2023,Janeiro,9,1481,Corporativo,Nordeste,BA,Eletrônicos,Cadeira Gamer,E-commerce,34,"R$ 1.434,94",8%,"R$ 48.788,09","R$ 4.022,88","R$ 44.765,22","R$ 31.041,55","R$ 13.723,67","30,66",,,,,,,
24,2023-01-09 00:00:00,2023,Janeiro,9,1370,Pequenas Empresas,Sul,PR,Eletrônicos,Cadeira Gamer,E-commerce,13,"R$ 623,49",11%,"R$ 8.105,42","R$ 910,52","R$ 7.194,90","R$ 4.423,54","R$ 2.771,36","38,52",,,,,,,
25,2023-01-10 00:00:00,2023,Janeiro,10,1106,Pequenas Empresas,Sul,PR,Eletrônicos,Mouse Gamer,Loja Física,5,"R$ 909,76",8%,"R$ 4.548,81","R$ 375,41","R$ 4.173,40","R$ 2.405,10","R$ 1.768,30","42,37",,,,,,,
26,2023-01-11 00:00:00,2023,Janeiro,11,1160,Pequenas Empresas,Sudeste,MG,Eletrônicos,Cadeira Gamer,Loja Física,3,"R$ 453,32",7%,"R$ 1.359,96","R$ 91,15","R$ 1.268,81","R$ 724,48","R$ 544,33","42,90",,,,,,,
27,2023-01-12 00:00:00,2023,Janeiro,12,1037,Pequenas Empresas,Nordeste,CE,Eletrônicos,Microfone Condensador,E-commerce,6,"R$ 754,62",2%,"R$ 4.527,71","R$ 69,10","R$ 4.458,61","R$ 3.333,79","R$ 1.124,82","25,23",,,,,,,
28,2023-01-13 00:00:00,2023,Janeiro,13,1571,Pequenas Empresas,Sul,PR,Eletrônicos,Cadeira Gamer,E-commerce,6,"R$ 457,67",2%,"R$ 2.746,00","R$ 48,98","R$ 2.697,02","R$ 1.697,16","R$ 999,86","37,07",,,,,,,
29,2023-01-13 00:00:00,2023,Janeiro,13,1553,Consumidor Final,Sul,RS,Eletrônicos,Headset Gamer,E-commerce,1,"R$ 266,28",6%,"R$ 266,28","R$ 16,19","R$ 250,09","R$ 142,67","R$ 107,41","42,95",,,,,,,
30,2023-01-13 00:00:00,2023,Janeiro,13,1312,Consumidor Final,Nordeste,BA,Eletrônicos,Cadeira Gamer,E-commerce,5,"R$ 348,41",3%,"R$ 1.742,06","R$ 52,91","R$ 1.689,15","R$ 1.249,21","R$ 439,93","26,04",,,,,,,
31,2023-01-13 00:00:00,2023,Janeiro,13,1920,Pequenas Empresas,Centro-Oeste,GO,Eletrônicos,Mouse Gamer,Loja Física,5,"R$ 1.064,43",2%,"R$ 5.322,14","R$ 93,45","R$ 5.228,69","R$ 3.422,40","R$ 1.806,29","34,55",,,,,,,
32,2023-01-16 00:00:00,2023,Janeiro,16,1854,Corporativo,Sudeste,MG,Eletrônicos,Teclado Mecânico,Loja Física,16,"R$ 3.426,08",4%,"R$ 54.817,25","R$ 2.329,67","R$ 52.487,58","R$ 28.020,31","R$ 24.467,26","46,62",,,,,,,
33,2023-01-16 00:00:00,2023,Janeiro,16,1677,Pequenas Empresas,Sul,PR,Eletrônicos,Webcam 4K,Loja Física,3,"R$ 933,88",1%,"R$ 2.801,64","R$ 31,23","R$ 2.770,41","R$ 1.702,90","R$ 1.067,51","38,53",,,,,,,
34,2023-01-17 00:00:00,2023,Janeiro,17,1493,Pequenas Empresas,Sudeste,RJ,Eletrônicos,Headset Gamer,E-commerce,5,"R$ 915,12",7%,"R$ 4.575,62","R$ 312,67","R$ 4.262,95","R$ 2.461,78","R$ 1.801,17","42,25",,,,,,,
35,2023-01-17 00:00:00,2023,Janeiro,17,1212,Pequenas Empresas,Nordeste,BA,Eletrônicos,Microfone Condensador,Loja Física,7,"R$ 500,19",6%,"R$ 3.501,31","R$ 217,70","R$ 3.283,61","R$ 2.440,25","R$ 843,35","25,68",,,,,,,
36,2023-01-17 00:00:00,2023,Janeiro,17,1596,Pequenas Empresas,Centro-Oeste,GO,Eletrônicos,Teclado Mecânico,Loja Física,5,"R$ 525,31",1%,"R$ 2.626,55","R$ 38,90","R$ 2.587,65","R$ 1.742,40","R$ 845,25","32,66",,,,,,,
37,2023-01-18 00:00:00,2023,Janeiro,18,1264,Corporativo,Nordeste,BA,Eletrônicos,Headset Gamer,E-commerce,31,"R$ 2.055,98",6%,"R$ 63.735,51","R$ 3.666,61","R$ 60.068,90","R$ 43.468,00","R$ 16.600,90","27,64",,,,,,,
38,2023-01-18 00:00:00,2023,Janeiro,18,1665,Corporativo,Sudeste,RJ,Eletrônicos,Monitor Ultrawide,Loja Física,18,"R$ 1.654,18",11%,"R$ 29.775,28","R$ 3.202,68","R$ 26.572,60","R$ 14.382,45","R$ 12.190,14","45,87",,,,,,,
39,2023-01-18 00:00:00,2023,Janeiro,18,1694,Consumidor Final,Nordeste,PE,Móveis,Mesa Gamer,Loja Física,1,"R$ 408,41",10%,"R$ 408,41","R$ 42,11","R$ 366,30","R$ 254,53","R$ 111,77","30,51",,,,,,,
